supplementary_table,title,file,rows,columns,sha256
S1,full dataset inventory,S01_full_dataset_inventory.csv,13,13,8ed2b489c5f2479458934c5c4df6cc44793598340f780cdef12475d21122928e
S2,metadata harmonization and inclusion exclu,S02_metadata_harmonization_and_inclusion_exclu.csv,6,5,2d46a17a3ac7300f24602d617ad846cc41c749cbf07929276a4f57262d624d72
S3,signature gene lists and coverage,S03_signature_gene_lists_and_coverage.csv,49,7,a15516965d7182edbda6386dd0cb5b85211bfdf500850af7c89ea83e6cec0930
S4,bulk case control signature results,S04_bulk_case_control_signature_results.csv,49,10,a7f5e592263b54aa4614fea238079b2324b86d7e78c2f5c015c57b2271620930
S5,within cohort coupling results,S05_within_cohort_coupling_results.csv,42,8,3e9f3440158874476c584bc9e53fdb029b2869e23814c687cf6c12f89c4523da
S6,leave one cohort sensitivity,S06_leave_one_cohort_sensitivity.csv,48,8,69f766b91a118a7644846962fb1ca05ab44058635f526262729f195ee4d7340e
S7,case only clustering centroid and stabilit,S07_case_only_clustering_centroid_and_stabilit.csv,2,7,db6f656f03eb146109d43892af74814e5ccb56cc59a1d3287f5e4bbc0cc99eee
S8,cytometry co event metric definitions,S08_cytometry_co_event_metric_definitions.csv,64,11,c59ed2127561f7029af667755030abea322446279a08b1bcd10a03c83442adee
S9,cytometry artifact control results,S09_cytometry_artifact_control_results.csv,128,9,de3ab87b46de11e14f631e5a0aa755a42bedf76cefca340c7f5b1306701b2152
S10,cytometry marker state heterogeneity resul,S10_cytometry_marker_state_heterogeneity_resul.csv,64,11,c59ed2127561f7029af667755030abea322446279a08b1bcd10a03c83442adee
S11,COMBAT RNA sample scoring,S11_COMBAT_RNA_sample_scoring.csv,143,10,78de94a62d3361e00a1d8b0f9bba8de7a80c5d5e26f2ebe0d131ac14212dd209
S12,COMBAT RNA CyTOF pairing audit,S12_COMBAT_RNA_CyTOF_pairing_audit.csv,5,6,2ed795792eaeb79b19415fce7dd02ec7181e97a888c094dd53ed686fdf0acbb1
S13,paired RNA CyTOF main correlations,S13_paired_RNA_CyTOF_main_correlations.csv,256,10,48f27372845493e89a7411a7e7c1ab31d4f2e00d5352c9aa0e0de0a1b0d7754b
S14,group residualized sensitivity,S14_group_residualized_sensitivity.csv,256,10,48f27372845493e89a7411a7e7c1ab31d4f2e00d5352c9aa0e0de0a1b0d7754b
S15,non healthy and sepsis only sensitivity,S15_non_healthy_and_sepsis_only_sensitivity.csv,256,10,48f27372845493e89a7411a7e7c1ab31d4f2e00d5352c9aa0e0de0a1b0d7754b
S16,permutation bootstrap robustness,S16_permutation_bootstrap_robustness.csv,15,27,a1f125278a2f87bfc03bc898f00841585a643785a9222dae74b79e4a60eded15
S17,28 day death status Death28 clinical ancho,S17_28_day_death_status_Death28_clinical_ancho.csv,36,16,c2e1b0050da7a53c589f782c7868ea35e7f40e6a184a84ec0c94f4c1c9db4f54
S18,negative control signatures,S18_negative_control_signatures.csv,21,8,24aaa0677d8671aa87aa9b39e8ea45ba70de76d8d00a4f5518169ef91c45e3a6
S19,negative control marker pairs,S19_negative_control_marker_pairs.csv,7,5,6bca264290da85758e78b7711132d968e2e70e113acf7654d8fa188a339f03fe
S20,V24 software and reproducibility manifest,S20_software_versions_and_reproducibility_mani.csv,7,4,849344ed80ec5830c05149401c4a06f807dbd981ac57eac7b60dd7f542eb21c9
S21,interpretive-scope and prohibited-language QA,S21_part1_claim_boundary_and_prohibited_language_aud.csv,4,4,4ce02286d515ca46fd3e26b70954ab4065c28af1ff2a9bf31b7a2d1e8e06dc6b
S21,interpretive-scope and prohibited-language QA,S21_part2_claim_boundary_and_prohibited_language_aud.csv,40,6,0ffab16d707de42d49ebb5af1d73204d6eb00d96f71fc175498992a273e6d738
S22,V24 figure source data index,S22_figure_source_data_index.csv,6,4,d26e1517718c4ff27ad9f1ddc5040d499c3f9b0daa46dd3e3ca570c52b4ca168
