accession,collection,pathway_name,pathway,pval,padj,padj_within_accession_collection,log2err,ES,NES,size,gene_universe_n,ranking_metric,leadingEdge,label
meta_median_rho_ge3_cohorts,REACTOME,REACTOME_RRNA_PROCESSING,REACTOME::REACTOME_RRNA_PROCESSING,7.53058672431561e-29,5.60652181625297e-26,5.41825714814508e-26,1.39518713415833,-0.634188378367435,-2.80807577601807,206,20961,Median Spearman rho across cohorts with at least three available cohort estimates,NOP14;DDX47;NAT10;LAS1L;IMP3;NCL;EXOSC2;BMS1;NOB1;RPL22;PDCD11;IMP4;NOP56;RPL18A;MRM3;RPL18;RPL23A;RPL10A;RPS2;NOL6;FBL;RPL3;UBA52;NOP2;RPL7A;RPUSD4;WDR46;RPL19;RPS16;DHX37;RPL36;EXOSC6;RPS4X;RPL13A;RPL28;UTP4;RPS15;TSR1;WDR18;NOL11;RPS5;RPL4;RPL15;TFB1M;RCC1L;WDR75;UTP20;NOL9;EXOSC5;RBM28;RPL14;FASTKD2;RPS19;DIMT1;ELAC2;RPLP1;NOP58;HEATR1;TRUB2;DKC1;RPL13;RPS12;RPS28;RPL8;EXOSC10;RPL12;RPLP2;RPL38;RPS13;UTP3;PNO1;BOP1;NHP2;MRM2;RPSA;MPHOSPH10;RPS23;RPUSD3;PELP1;RPS3;RPS25;RPP30;RPP25;EXOSC7;RPL37;RRP7A;RPL32;RPL5;RPS20;EXOSC9;TBL3;HSD17B10;GAR1;LTV1;BYSL;UTP6;MRM1;RPS27A;MTERF3;CSNK1E;UTP14A;WDR36;RPS8;ISG20L2;TEX10;NSUN4;RPP40;SNU13;PES1;RPS26;RPL37A;RPL30;RPS14;RPS11;RPL6;RPL11;RPL29;RPS29;RPS6;RPS18;NOC4L;WDR3;RRP9;DDX21,rRNA processing
meta_median_rho_ge3_cohorts,REACTOME,REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,REACTOME::REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,2.32159827617588e-19,1.1522866110753e-16,1.11359330647236e-16,1.13308993200902,-0.652491283251677,-2.68188947494578,120,20961,Median Spearman rho across cohorts with at least three available cohort estimates,RPL22;RPL18A;RPL18;EIF3B;RPL23A;RPL10A;RPS2;RPL3;UBA52;EIF3G;RPL7A;RPL19;RPS16;PABPC1;EIF3L;RPL36;RPS4X;EIF3D;RPL13A;RPL28;RPS15;RPS5;RPL4;RPL15;EIF3K;RPL14;RPS19;EIF3F;RPLP1;RPL13;EIF4B;RPS12;RPS28;RPL8;RPL12;RPLP2;RPL38;RPS13;EIF3A;EIF2B3;RPSA;RPS23;EIF5B;RPS3;RPS25;EIF3H;EIF4A1;RPL37;RPL32;RPL5;RPS20;EIF3C;EIF2B5;RPS27A;RPS8;EIF3E;EIF3M;RPS26;RPL37A;RPL30;RPS14;RPS11;RPL6;EIF2B1;RPL11;RPL29;RPS29;RPS6;RPS18;RPS27;EIF2S3;RPLP0;RPL35A,Translation initiation
meta_median_rho_ge3_cohorts,REACTOME,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,REACTOME::REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,9.60176146982068e-16,3.5742557071407497e-13,3.45423368876799e-13,1.01754479730988,-0.662875365637891,-2.63576649246638,94,20961,Median Spearman rho across cohorts with at least three available cohort estimates,EEF2;RPL22;RPL18A;RPL18;RPL23A;RPL10A;RPS2;RPL3;UBA52;RPL7A;RPL19;RPS16;RPL36;RPS4X;RPL13A;RPL28;RPS15;RPS5;RPL4;RPL15;RPL14;RPS19;RPLP1;RPL13;RPS12;RPS28;RPL8;RPL12;RPLP2;RPL38;RPS13;RPSA;RPS23;RPS3;RPS25;EEF1A1;RPL37;EEF1G;RPL32;RPL5;RPS20;RPS27A;RPS8;RPS26;RPL37A;RPL30;RPS14;RPS11;RPL6;RPL11;RPL29;RPS29;RPS6;RPS18;RPS27;RPLP0;RPL35A;RPL27A,Translation elongation
meta_median_rho_ge3_cohorts,REACTOME,REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,REACTOME::REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,3.55892688090993e-13,8.83207020945814e-11,8.535492969382319e-11,0.932595211336209,-0.816569521417822,-2.6100209409089,33,20961,Median Spearman rho across cohorts with at least three available cohort estimates,HLA-DPA1;HLA-DRA;HLA-DPB1;CD4;HLA-DRB1;HLA-DRB3;CD3E;HLA-DQA1;CD3G;CD247;ZAP70;EVL;CD3D;HLA-DQB2;PLCG1;HLA-DQB1;LCK;LAT;ITK;HLA-DRB5,T-cell activation
meta_median_rho_ge3_cohorts,REACTOME,REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION,REACTOME::REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION,2.3518509130398207e-15,7.003812019032579e-13,6.768626927728599e-13,1.00731795687447,-0.586741501410899,-2.45231382316028,136,20961,Median Spearman rho across cohorts with at least three available cohort estimates,NUP210;PARP1;NUP160;NUP93;RPL22;RPL18A;RPL18;RPL23A;RPL10A;RPS2;RPL3;UBA52;RPL7A;NUP88;IPO5;RPL19;RPS16;RPL36;RPS4X;RPL13A;RPL28;RPS15;RPS5;RPL4;RPL15;NUP35;NUP205;RPL14;RPS19;NUP188;NUP62;RPLP1;RPL13;RPS12;RPS28;RPL8;RPL12;RPLP2;RPL38;RPS13;POLR2D;RPSA;RPS23;SEH1L;RPS3;GTF2F1;RPS25;NUP43;AAAS;RPL37;RPL32;RPL5;RPS20;NUP50;RPS27A;NUP85;RPS8;RPS26;RPL37A;RPL30;RPS14;RPS11;RPL6;RPL11;RPL29;RPS29;RPS6;POLR2E;NUP133;RPS18;POLR2H,IFN/viral response
meta_median_rho_ge3_cohorts,HALLMARK,HALLMARK_MTORC1_SIGNALING,HALLMARK::HALLMARK_MTORC1_SIGNALING,4.00136234233155e-07,1.7022938650662e-05,4.00136234233156e-06,0.674962860011025,0.421383806179194,1.87274561900827,195,20961,Median Spearman rho across cohorts with at least three available cohort estimates,LDHA;IDI1;PGK1;SLC2A3;ADD3;DHCR7;ETF1;GBE1;ACTR3;COPS5;SKAP2;PSMD12;GAPDH;PSMC6;SLA;ACSL3;GSR;ERO1A;ARPC5L;LDLR;HPRT1;RIT1;GLRX;VLDLR;PGM1;AURKA;NFIL3;GPI;TES;ACTR2;ATP6V1D;BUB1;DHFR;YKT6;G6PD;RAB1A;P4HA1;MTHFD2;PSMD13;TFRC;SERP1;PSMA4;TBK1;ASNS;TXNRD1;NFKBIB;CD9;IDH1;SEC11A;TMEM97;BCAT1;ALDOA;PSMC2;HMGCS1;HK2;ENO1;CTSC;PSAT1;DHCR24,mTORC1 signaling
meta_median_rho_ge3_cohorts,REACTOME,REACTOME_RHO_GTPASE_EFFECTORS,REACTOME::REACTOME_RHO_GTPASE_EFFECTORS,6.328210605602241e-10,7.85225465978477e-08,7.58857921788468e-08,0.801215574617779,0.434525940199532,2.00127354673576,260,20961,Median Spearman rho across cohorts with at least three available cohort estimates,MAPRE1;MYL12B;MYL6;S100A8;MAPK14;DYNC1LI2;S100A9;ARPC1A;ACTR3;SRF;ABI1;ARPC3;ARPC2;CDC20;SCAI;YWHAZ;ARPC5;RAC2;NCKAP1L;CTNNB1;PRC1;KIF5B;CDCA8;PPP1R12A;DYNC1I2;BTK;ACTB;PPP2CA;ROCK1;CDC42;PPP1CB;KLC1;ARPC1B;BIRC5;RHOG;CYBB;PAFAH1B1;CYBA;ACTR2;BUB1;KIF2C;CFL1;DIAPH2;CENPF;PFN1;NUF2;TAOK1;YWHAH;CLIP1;LIMK2;PPP2R5A;ARPC4;RANBP2;MAPK1;SPC24;SKA1;SGO1;KIF14;TUBA1A;CIT;SGO2;KIF2B;PPP2R5C;KNL1;CENPN;NUP37;NCF4;CENPA;SPC25;MAPK3;YWHAE;CDKN1B;CENPE;CDC25C;NCKAP1;ACTG1;WASF1;PLK1;GRB2;AURKB;RHOA;YWHAB;PIK3C3;PRKCD;B9D2;IQGAP3;YWHAG;CENPU;NCF2;KIF18A;PIN1;KTN1;SPDL1;TUBA4A,Rho GTPase effectors
meta_median_rho_ge3_cohorts,HALLMARK,HALLMARK_PROTEIN_SECRETION,HALLMARK::HALLMARK_PROTEIN_SECRETION,7.77706836878677e-07,2.7571559050294e-05,6.48089030732231e-06,0.659444398037935,0.521548176873785,2.08328200269078,95,20961,Median Spearman rho across cohorts with at least three available cohort estimates,CD63;VAMP7;KIF1B;CLTC;AP3S1;STX7;COPB1;PAM;VAMP4;TSG101;OCRL;NAPG;RPS6KA3;VAMP3;ARFGEF1;ATP6V1H;ANP32E;AP1G1;YKT6;STX12;GOSR2;ADAM10;GALC;RAB2A;RAB5A;SEC22B;AP3B1;ARFGAP3;MAPK1;STAM;COPB2;RER1;TMX1;ICA1;CTSC;BNIP3;TMED2;VPS4B;GLA;SNAP23,Protein secretion
meta_median_rho_ge3_cohorts,REACTOME,REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT,REACTOME::REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT,4.20960494976469e-09,3.91756360637477e-07,4.03841434847426e-07,0.761460801445585,0.498034452574581,2.14387246396507,154,20961,Median Spearman rho across cohorts with at least three available cohort estimates,SEC24A;PPP6R3;SAR1B;DYNC1LI2;CD55;ACTR10;CD59;TRAPPC6B;SCFD1;F8;DCTN2;SEC22C;COPB1;F5;CAPZA1;DYNC1I2;COPA;NAPG;NAPB;COPG2;SEC16A;SERPINA1;YKT6;PPP6C;SEC23A;GOSR2;RAB1A;DCTN4;PREB;CAPZA2;DCTN6;SEC22B;ACTR1A;ARFGAP3;CAPZB;TGFA;TRAPPC1;ARF4;TUBA1A;SEC24B;COPB2;ARF5;LMAN2;CTSC;TMED9;TMED2;DCTN1;MCFD2;CSNK1D;STX5;NSF;RAB1B;DCTN3;TRAPPC3;SEC23IP;TMED7;TUBA4A,Vesicle transport
meta_median_rho_ge3_cohorts,REACTOME,REACTOME_NEUTROPHIL_DEGRANULATION,REACTOME::REACTOME_NEUTROPHIL_DEGRANULATION,1.4152218244934e-40,2.10726529667067e-37,2.036504205446e-37,1.6595653414844,0.55840516537682,2.72724917486975,471,20961,Median Spearman rho across cohorts with at least three available cohort estimates,MCEMP1;SERPINB1;GYG1;HK3;CYSTM1;HP;GPR84;CLEC4D;CKAP4;S100A12;STOM;MMP8;RETN;PLAC8;CD177;ATP11B;VNN1;RAB27A;CD63;ARG1;ARL8A;S100P;PGM2;SLC2A3;TCN1;LRG1;AMPD3;FCER1G;RAB31;LCN2;CEACAM1;QSOX1;MMP9;S100A8;BST1;ITGAM;TRPM2;CAP1;CAB39;CLEC5A;AGL;DNASE1L1;SIGLEC9;SLCO4C1;ALOX5;HEBP2;PSMD6;OSCAR;PLD1;MAPK14;S100A9;GCA;FGR;CD55;ADGRG3;FCAR;GMFG;SVIP;SRP14;OLFM4;LAMTOR3;LAIR1;ENPP4;ATP8B4;LTF;PGLYRP1;ACTR10;CD59;PSMD12;CD58;RAB10;BPI;CPNE3;LAMTOR2;ARPC5;GGH;NAPRT;NCKAP1L;ATP11A;DNAJC5;LILRB3;TSPAN14;PYGL;RAB18;NRAS;COPB1;CR1;NHLRC3;PGM1;VAT1;AGPAT2;CHIT1;SIRPA;BRI3;CD44;TOLLIP;GNS;ROCK1;DYNLT1;MGAM;FPR1;RHOG;RAP2C;PSMD1;GPI;CRISP3;CYBB;DNAJC13;TMEM30A;DBNL;CYBA;ACAA1;PRCP;ACTR2;DOK3;TLR2;ATP6V1D;LAMTOR1;SERPINA1;VAPA;APAF1;P2RX1;HSPA1B;ADAM10;RAB6A;C3AR1;CNN2;PSMD7;OSTF1;PKM;PSMD13;GOLGA7;FOLR3;ARMC8;ORM2;SIGLEC5;AP1M1;CMTM6;LILRA3;MAGT1;ABCA13;RAB4B;DERA;CDA;CEACAM8;CAPN1;TRAPPC1;MAPK1;NBEAL2;XRCC5;TIMP2;C6ORF120;BIN2;RAB7A;RAP1B;DEGS1;PSMB7;CSTB;CTSD;GUSB;MOSPD2;PSMA2;RNASE2;FPR2;SERPINB10;STBD1;ALDH3B1;PLEKHO2;MMP25;IDH1;S100A11;PRTN3;RAP1A;PTX3;NFKB1;RNASE3;ALDOA;PSMC2;IMPDH1;CTSC;GSN;AGA;TYROBP;TICAM2;ORM1;MPO;LAMP1;CD93;VCP;RAB3D;YPEL5;GLA;PADI2;ASAH1;GM2A;LILRB2;PSMD11;GDI2;PGAM1;PTPRN2;SNAP23;TNFAIP6;NCSTN;HSPA1A;SDCBP;ATP6AP2;RHOA;GALNS;MS4A3;FAF2;HSP90AA1;PRKCD;PTPRC;TOM1;CD53;PTPRJ;HMGB1;SIGLEC14,Neutrophil degranulation
